........] - ETA: 913s - loss: 0.9313 - acc: 0.7256
 128/2525 [>.............................] - ETA: 912s - loss: 0.9341 - acc: 0.7249
 129/2525 [>.............................] - ETA: 912s - loss: 0.9375 - acc: 0.7234
 130/2525 [>.............................] - ETA: 911s - loss: 0.9362 - acc: 0.7240
 131/2525 [>.............................] - ETA: 910s - loss: 0.9333 - acc: 0.7254
 132/2525 [>.............................] - ETA: 909s - loss: 0.9329 - acc: 0.7256
 133/2525 [>.............................] - ETA: 909s - loss: 0.9344 - acc: 0.7253
 134/2525 [>.............................] - ETA: 908s - loss: 0.9334 - acc: 0.7250
 135/2525 [>.............................] - ETA: 907s - loss: 0.9316 - acc: 0.7259
 136/2525 [>.............................] - ETA: 907s - loss: 0.9309 - acc: 0.7263
 137/2525 [>.............................] - ETA: 906s - loss: 0.9315 - acc: 0.7272
 138/2525 [>.............................] - ETA: 905s - loss: 0.9333 - acc: 0.7271
 139/2525 [>.............................] - ETA: 904s - loss: 0.9364 - acc: 0.7262
 140/2525 [>.............................] - ETA: 904s - loss: 0.9389 - acc: 0.7261
 141/2525 [>.............................] - ETA: 903s - loss: 0.9395 - acc: 0.7261
 142/2525 [>.............................] - ETA: 902s - loss: 0.9386 - acc: 0.7260
 143/2525 [>.............................] - ETA: 902s - loss: 0.9405 - acc: 0.7251
 144/2525 [>.............................] - ETA: 901s - loss: 0.9418 - acc: 0.7248
 145/2525 [>.............................] - ETA: 900s - loss: 0.9429 - acc: 0.7248
 146/2525 [>.............................] - ETA: 900s - loss: 0.9457 - acc: 0.7241
 147/2525 [>.............................] - ETA: 899s - loss: 0.9482 - acc: 0.7239
 148/2525 [>.............................] - ETA: 899s - loss: 0.9494 - acc: 0.7232
 149/2525 [>.............................] - ETA: 898s - loss: 0.9495 - acc: 0.7232
 150/2525 [>.............................] - ETA: 897s - loss: 0.9463 - acc: 0.7240
 151/2525 [>.............................] - ETA: 897s - loss: 0.9470 - acc: 0.7243
 152/2525 [>.............................] - ETA: 896s - loss: 0.9470 - acc: 0.7247
 153/2525 [>.............................] - ETA: 895s - loss: 0.9450 - acc: 0.7255
 154/2525 [>.............................] - ETA: 895s - loss: 0.9465 - acc: 0.7252
 155/2525 [>.............................] - ETA: 894s - loss: 0.9472 - acc: 0.7250
 156/2525 [>.............................] - ETA: 894s - loss: 0.9453 - acc: 0.7256
 157/2525 [>.............................] - ETA: 893s - loss: 0.9444 - acc: 0.7257
 158/2525 [>.............................] - ETA: 892s - loss: 0.9438 - acc: 0.7255
 159/2525 [>.............................] - ETA: 892s - loss: 0.9451 - acc: 0.7244
 160/2525 [>.............................] - ETA: 891s - loss: 0.9437 - acc: 0.7248
 161/2525 [>.............................] - ETA: 891s - loss: 0.9440 - acc: 0.7248
 162/2525 [>.............................] - ETA: 890s - loss: 0.9432 - acc: 0.7251
 163/2525 [>.............................] - ETA: 889s - loss: 0.9410 - acc: 0.7260
 164/2525 [>.............................] - ETA: 889s - loss: 0.9411 - acc: 0.7258
 165/2525 [>.............................] - ETA: 888s - loss: 0.9402 - acc: 0.7263
 166/2525 [>.............................] - ETA: 888s - loss: 0.9407 - acc: 0.7265
 167/2525 [>.............................] - ETA: 887s - loss: 0.9410 - acc: 0.7268
 168/2525 [>.............................] - ETA: 887s - loss: 0.9393 - acc: 0.7269
 169/2525 [=>............................] - ETA: 886s - loss: 0.9384 - acc: 0.7271
 170/2525 [=>............................] - ETA: 886s - loss: 0.9386 - acc: 0.7265
 171/2525 [=>............................] - ETA: 885s - loss: 0.9363 - acc: 0.7272
 172/2525 [=>............................] - ETA: 885s - loss: 0.9373 - acc: 0.7269
 173/2525 [=>............................] - ETA: 884s - loss: 0.9379 - acc: 0.7262
 174/2525 [=>............................] - ETA: 883s - loss: 0.9361 - acc: 0.7267
 175/2525 [=>............................] - ETA: 883s - loss: 0.9341 - acc: 0.7270
 176/2525 [=>............................] - ETA: 882s - loss: 0.9362 - acc: 0.7267
 177/2525 [=>............................] - ETA: 882s - loss: 0.9372 - acc: 0.7262
 178/2525 [=>............................] - ETA: 881s - loss: 0.9384 - acc: 0.7258
 179/2525 [=>............................] - ETA: 881s - loss: 0.9368 - acc: 0.7263
 180/2525 [=>............................] - ETA: 880s - loss: 0.9374 - acc: 0.7266
 181/2525 [=>............................] - ETA: 880s - loss: 0.9351 - acc: 0.7274
 182/2525 [=>............................] - ETA: 879s - loss: 0.9346 - acc: 0.7273
 183/2525 [=>............................] - ETA: 878s - loss: 0.9353 - acc: 0.7275
 184/2525 [=>............................] - ETA: 878s - loss: 0.9363 - acc: 0.7271
 185/2525 [=>............................] - ETA: 877s - loss: 0.9357 - acc: 0.7269
 186/2525 [=>............................] - ETA: 877s - loss: 0.9344 - acc: 0.7273
 187/2525 [=>............................] - ETA: 876s - loss: 0.9362 - acc: 0.7271
 188/2525 [=>............................] - ETA: 876s - loss: 0.9378 - acc: 0.7267
 189/2525 [=>............................] - ETA: 875s - loss: 0.9381 - acc: 0.7267
 190/2525 [=>............................] - ETA: 875s - loss: 0.9354 - acc: 0.7275
 191/2525 [=>............................] - ETA: 874s - loss: 0.9337 - acc: 0.7282
 192/2525 [=>............................] - ETA: 874s - loss: 0.9348 - acc: 0.7282
 193/2525 [=>............................] - ETA: 874s - loss: 0.9352 - acc: 0.7275
 194/2525 [=>............................] - ETA: 873s - loss: 0.9359 - acc: 0.7271
 195/2525 [=>............................] - ETA: 873s - loss: 0.9354 - acc: 0.7276
 196/2525 [=>............................] - ETA: 872s - loss: 0.9352 - acc: 0.7278
 197/2525 [=>............................] - ETA: 872s - loss: 0.9345 - acc: 0.7280
 198/2525 [=>............................] - ETA: 871s - loss: 0.9354 - acc: 0.7281
 199/2525 [=>............................] - ETA: 871s - loss: 0.9360 - acc: 0.7277
 200/2525 [=>............................] - ETA: 870s - loss: 0.9369 - acc: 0.7273
 201/2525 [=>............................] - ETA: 870s - loss: 0.9363 - acc: 0.7278
 202/2525 [=>............................] - ETA: 869s - loss: 0.9370 - acc: 0.7276
 203/2525 [=>............................] - ETA: 869s - loss: 0.9350 - acc: 0.7283
 204/2525 [=>............................] - ETA: 868s - loss: 0.9347 - acc: 0.7282
 205/2525 [=>............................] - ETA: 868s - loss: 0.9341 - acc: 0.7284
 206/2525 [=>............................] - ETA: 867s - loss: 0.9335 - acc: 0.7286
 207/2525 [=>............................] - ETA: 867s - loss: 0.9343 - acc: 0.7283
 208/2525 [=>............................] - ETA: 866s - loss: 0.9344 - acc: 0.7284
 209/2525 [=>............................] - ETA: 866s - loss: 0.9361 - acc: 0.7279
 210/2525 [=>............................] - ETA: 865s - loss: 0.9372 - acc: 0.7278
 211/2525 [=>............................] - ETA: 864s - loss: 0.9378 - acc: 0.7276
 212/2525 [=>............................] - ETA: 864s - loss: 0.9372 - acc: 0.7276
 213/2525 [=>............................] - ETA: 863s - loss: 0.9360 - acc: 0.7277
 214/2525 [=>............................] - ETA: 863s - loss: 0.9360 - acc: 0.7277
 215/2525 [=>............................] - ETA: 863s - loss: 0.9347 - acc: 0.7282
 216/2525 [=>............................] - ETA: 862s - loss: 0.9350 - acc: 0.7283
 217/2525 [=>............................] - ETA: 861s - loss: 0.9326 - acc: 0.7293
 218/2525 [=>............................] - ETA: 861s - loss: 0.9323 - acc: 0.7295
 219/2525 [=>............................] - ETA: 860s - loss: 0.9310 - acc: 0.7299
 220/2525 [=>............................] - ETA: 860s - loss: 0.9310 - acc: 0.7300
 221/2525 [=>............................] - ETA: 860s - loss: 0.9313 - acc: 0.7298
 222/2525 [=>............................] - ETA: 859s - loss: 0.9310 - acc: 0.7300
 223/2525 [=>............................] - ETA: 859s - loss: 0.9290 - acc: 0.7305
 224/2525 [=>............................] - ETA: 858s - loss: 0.9292 - acc: 0.7301
 225/2525 [=>............................] - ETA: 858s - loss: 0.9298 - acc: 0.7303
 226/2525 [=>............................] - ETA: 857s - loss: 0.9302 - acc: 0.7302
 227/2525 [=>............................] - ETA: 857s - loss: 0.9299 - acc: 0.7303
 228/2525 [=>............................] - ETA: 856s - loss: 0.9288 - acc: 0.7305
 229/2525 [=>............................] - ETA: 856s - loss: 0.9299 - acc: 0.7297
 230/2525 [=>............................] - ETA: 855s - loss: 0.9294 - acc: 0.7298
 231/2525 [=>............................] - ETA: 855s - loss: 0.9294 - acc: 0.7298
 232/2525 [=>............................] - ETA: 855s - loss: 0.9278 - acc: 0.7301
 233/2525 [=>............................] - ETA: 854s - loss: 0.9278 - acc: 0.7297
 234/2525 [=>............................] - ETA: 854s - loss: 0.9274 - acc: 0.7300
 235/2525 [=>............................] - ETA: 853s - loss: 0.9267 - acc: 0.7299
 236/2525 [=>............................] - ETA: 853s - loss: 0.9272 - acc: 0.7297
 237/2525 [=>............................] - ETA: 852s - loss: 0.9291 - acc: 0.7290
 238/2525 [=>............................] - ETA: 852s - loss: 0.9288 - acc: 0.7294
 239/2525 [=>............................] - ETA: 851s - loss: 0.9286 - acc: 0.7295
 240/2525 [=>............................] - ETA: 851s - loss: 0.9293 - acc: 0.7294
 241/2525 [=>............................] - ETA: 850s - loss: 0.9287 - acc: 0.7298
 242/2525 [=>............................] - ETA: 850s - loss: 0.9282 - acc: 0.7300
 243/2525 [=>............................] - ETA: 849s - loss: 0.9276 - acc: 0.7298
 244/2525 [=>............................] - ETA: 849s - loss: 0.9290 - acc: 0.7295
 245/2525 [=>............................] - ETA: 848s - loss: 0.9281 - acc: 0.7298
 246/2525 [=>............................] - ETA: 848s - loss: 0.9277 - acc: 0.7297
